# Scan universe — every listed company in ../stocks.csv with a tradable listing.
# Generated by build_universe.py; edit stocks.csv and re-run, not this file.
#
# One company per line:  <ISIN>,<Yahoo symbol>
#   ISIN         the identity carried into trend.json
#   Yahoo symbol how the price is fetched: SYMBOL.NS on NSE, CODE.BO for
#                BSE-only listings
#
# 1989 companies (1861 NSE, 128 BSE-only). 10 companies in stocks.csv
# are listed on neither exchange and cannot be scanned.
INE144J01027,20MICRONS.NS
INE0L9R01028,GOPAL.NS
INE177H01039,GPIL.NS
INE517F01014,GPPL.NS
INE486R01017,GPTHEALTH.NS
INE390G01014,GPTINFRA.NS
INE926B01016,GRANDOAK.NS
INE101D01020,GRANULES.NS
INE371A01025,GRAPHITE.NS
INE047A01021,GRASIM.NS
INE266D01021,GRAUWEIL.NS
INE024L01027,GRAVITA.NS
INE224A01026,GREAVESCOT.NS
INE544R01021,GREENLAM.NS
INE08ZM01014,GREENPANEL.NS
INE461C01038,GREENPLY.NS
INE999K01014,GREENPOWER.NS
INE536A01023,GRINDWELL.NS
INE201P01022,GRINFRA.NS
INE192H01020,GRMOVER.NS
INE0HOQ01053,GROWW.NS
INE137I01015,GRPLTD.NS
INE382Z01011,GRSE.NS
